Gender,Age,Debt,Married,BankCustomer,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,Income,Approved
Male,26.92,2.25,Married,Yes,Asian,0.5,No,0,0,4000,0
Male,33.75,2.75,Married,Yes,Asian,0,No,0,0,0,0
Male,38.92,1.75,Married,Yes,White,0.5,No,0,0,2,0
Male,62.75,7,Married,Yes,Other,0,No,0,0,12,0
Male,32.25,1.5,Married,Yes,White,0.25,No,0,0,122,0
Male,26.75,4.5,Single,No,Asian,2.5,No,0,0,1210,0
Male,63.33,0.54,Married,Yes,White,0.585,Yes,1,3,0,0
Male,27.83,1.5,Married,Yes,White,2.25,No,1,1,3,0
Female,26.17,2,Married,Yes,Other,0,No,0,0,1,0
Male,22.17,0.585,Single,No,Latino,0,No,0,0,0,0
Male,22.5,11.5,Single,No,White,1.5,No,0,0,4000,0
Male,30.75,1.585,Married,Yes,White,0.585,No,0,0,0,0
Male,36.67,2,Married,Yes,White,0.25,No,0,0,0,0
Female,16,0.165,Married,Yes,White,1,No,1,2,1,0
Male,41.17,1.335,Married,Yes,White,0.165,No,0,0,0,0
Female,19.5,0.165,Married,Yes,White,0.04,No,0,0,0,0
Male,32.42,3,Married,Yes,White,0.165,No,0,0,0,0
Female,36.75,4.71,Married,Yes,Latino,0,No,0,0,0,0
Female,30.25,5.5,Married,Yes,White,5.5,No,0,0,0,0
Male,23.08,2.5,Married,Yes,Latino,0.085,No,0,0,4208,0
Male,26.83,0.54,Married,Yes,Latino,0,No,0,0,0,0
Male,16.92,0.335,Single,No,White,0.29,No,0,0,0,0
Male,24.42,2,Married,Yes,Other,0.165,No,1,2,1300,0
Male,42.83,1.25,Married,Yes,White,13.875,No,1,1,112,0
Female,22.75,6.165,Married,Yes,White,0.165,No,0,0,1000,0
Male,39.42,1.71,Single,No,White,0.165,No,0,0,0,0
Female,23.58,11.5,Single,No,Black,3,No,0,0,16,0
Male,21.42,0.75,Single,No,Other,0.75,No,0,0,2,0
Male,33,2.5,Single,No,White,7,No,0,0,0,0
Male,26.33,13,Married,Yes,Other,0,No,0,0,1110,0
Female,45,4.585,Married,Yes,Black,1,No,0,0,0,0
Male,26.25,1.54,Married,Yes,White,0.125,No,0,0,0,0
Male,28.17,0.585,Married,Yes,White,0.04,No,0,0,1004,0
Female,20.83,0.5,Single,No,Other,1,No,0,0,0,0
Male,28.67,14.5,Married,Yes,White,0.125,No,0,0,286,0
Male,20.67,0.835,Single,No,White,2,No,0,0,0,0
Male,34.42,1.335,Married,Yes,Asian,0.125,No,0,0,4500,0
Male,33.58,0.25,Married,Yes,Asian,4,No,0,0,0,0
Male,43.17,5,Married,Yes,Asian,2.25,No,0,0,0,0
Female,22.67,7,Married,Yes,White,0.165,No,0,0,0,0
Female,24.33,2.5,Single,No,Asian,4.5,No,0,0,456,0
Female,56.83,4.25,Single,No,Latino,5,No,0,0,4,0
Male,22.08,11.46,Married,Yes,White,1.585,No,0,0,1212,0
Male,34,5.5,Single,No,White,1.5,No,0,0,0,0
Male,22.58,1.5,Single,No,White,0.54,No,0,0,67,0
Male,21.17,0,Married,Yes,White,0.5,No,0,0,0,0
Male,26.67,14.585,Married,Yes,Asian,0,No,0,0,0,0
Male,22.92,0.17,Married,Yes,White,0.085,No,0,0,0,0
Male,15.17,7,Married,Yes,White,1,No,0,0,0,0
Male,39.92,5,Married,Yes,Asian,0.21,No,0,0,0,0
Male,27.42,12.5,Married,Yes,Asian,0.25,No,0,0,0,0
Male,24.75,0.54,Married,Yes,White,1,No,0,0,1,0
Male,41.17,1.25,Single,No,White,0.25,No,0,0,195,0
Female,33.08,1.625,Married,Yes,White,0.54,No,0,0,0,0
Male,29.83,2.04,Single,No,Black,0.04,No,0,0,1,0
Female,23.58,0.585,Single,No,Latino,0.125,No,0,0,87,0
Male,26.17,12.5,Single,No,Black,1.25,No,0,0,17,0
Male,31,2.085,Married,Yes,White,0.085,No,0,0,0,0
Male,20.75,5.085,Single,No,White,0.29,No,0,0,184,0
Male,28.92,0.375,Married,Yes,White,0.29,No,0,0,140,0
Female,51.92,6.5,Married,Yes,Asian,3.085,No,0,0,0,0
Female,22.67,0.335,Married,Yes,White,0.75,No,0,0,0,0
Male,34,5.085,Single,No,Asian,1.085,No,0,0,0,0
Female,69.5,6,Married,Yes,Latino,0,No,0,0,0,0
Female,40.33,8.125,Single,No,White,0.165,No,1,2,18,0
Female,19.58,0.665,Single,No,White,1,No,1,1,2,0
Male,16,3.125,Married,Yes,White,0.085,No,1,1,6,0
Male,17.08,0.25,Married,Yes,White,0.335,No,1,4,8,0
Male,31.25,2.835,Married,Yes,Latino,0,No,1,5,146,0
Male,25.17,3,Married,Yes,White,1.25,No,1,1,22,0
Female,22.67,0.79,Married,Yes,White,0.085,No,0,0,0,0
Male,40.58,1.5,Married,Yes,Asian,0,No,0,0,0,0
Male,22.25,0.46,Married,Yes,White,0.125,No,0,0,55,0
Female,22.25,1.25,Single,No,Latino,3.25,No,0,0,0,0
Male,22.5,0.125,Single,No,White,0.125,No,0,0,70,0
Male,23.58,1.79,Married,Yes,White,0.54,No,0,0,1,0
Male,38.42,0.705,Married,Yes,White,0.375,No,1,2,500,0
Female,26.58,2.54,Single,No,Latino,0,No,0,0,60,0
Male,35,2.5,Married,Yes,White,1,No,0,0,0,0
Male,20.42,1.085,Married,Yes,White,1.5,No,0,0,7,0
Male,29.42,1.25,Married,Yes,White,1.75,No,0,0,0,0
Male,26.17,0.835,Married,Yes,White,1.165,No,0,0,0,0
Male,33.67,2.165,Married,Yes,White,1.5,No,0,0,0,0
Male,24.58,1.25,Married,Yes,White,0.25,No,0,0,0,0
Female,27.67,2.04,Married,Yes,White,0.25,No,0,0,50,0
Male,37.5,0.835,Married,Yes,White,0.04,No,0,0,5,0
Male,49.17,2.29,Married,Yes,Latino,0.29,No,0,0,3,0
Male,33.58,0.335,Single,No,White,0.085,No,0,0,0,0
Male,51.83,3,Single,No,Latino,1.5,No,0,0,4,0
Male,22.92,3.165,Single,No,White,0.165,No,0,0,1058,0
Male,21.83,1.54,Married,Yes,White,0.085,No,0,0,0,0
Male,25.25,1,Married,Yes,White,0.5,No,0,0,0,0
Male,58.58,2.71,Married,Yes,White,2.415,No,0,0,0,0
Male,19,0,Single,No,Latino,0,No,1,4,1,0
Male,19.58,0.585,Married,Yes,Latino,0,No,1,3,769,0
Female,53.33,0.165,Married,Yes,Latino,0,No,0,0,27,0
Female,27.17,1.25,Married,Yes,Latino,0,No,1,1,300,0
Male,25.92,0.875,Married,Yes,White,0.375,No,1,2,3,0
Male,23.08,0,Married,Yes,White,1,No,1,11,0,0
Male,39.58,5,Married,Yes,Latino,0,No,1,2,1,0
Male,30.58,2.71,Single,No,White,0.125,No,0,0,0,0
Male,17.25,3,Married,Yes,White,0.04,No,0,0,40,0
Female,17.67,0,Single,No,Latino,0,No,0,0,0,0
Female,28.46,11.25,Married,Yes,Latino,0,No,0,0,5200,0
Male,16.5,0.125,Married,Yes,White,0.165,No,0,0,0,0
Female,27.33,1.665,Married,Yes,Latino,0,No,0,0,1,0
Male,31.25,1.125,Married,Yes,Latino,0,No,1,1,19,0
Male,20,7,Married,Yes,White,0.5,No,0,0,0,0
Male,28.46,3,Single,No,Asian,7,No,0,0,1,0
Male,39.5,1.625,Married,Yes,White,1.5,No,0,0,316,0
Male,36.5,4.25,Married,Yes,White,3.5,No,0,0,50,0
Male,29.75,0.665,Married,Yes,White,0.25,No,0,0,0,0
Male,52.42,1.5,Married,Yes,White,3.75,No,0,0,350,0
Male,36.17,18.125,Married,Yes,White,0.085,No,0,0,3552,0
Male,34.58,0,Married,Yes,White,0,No,0,0,0,0
Male,29.67,0.75,Single,No,White,0.04,No,0,0,0,0
Male,36.17,5.5,Married,Yes,Asian,5,No,0,0,687,0
Male,25.67,0.29,Single,No,White,1.5,No,0,0,0,0
Female,24.5,2.415,Single,No,White,0,No,0,0,0,0
Male,24.08,0.875,Married,Yes,White,0.085,No,1,4,1950,0
Male,21.92,0.5,Married,Yes,White,0.125,No,0,0,0,0
Female,36.58,0.29,Married,Yes,Latino,0,No,1,10,18,0
Female,23,1.835,Married,Yes,Other,0,No,1,1,53,0
Female,27.58,3,Married,Yes,White,2.79,No,1,1,10,0
Male,31.08,3.085,Married,Yes,White,2.5,No,1,2,41,0
Female,30.42,1.375,Married,Yes,Black,0.04,No,1,3,33,0
Male,22.08,2.335,Married,Yes,White,0.75,No,0,0,0,0
Male,16.33,4.085,Married,Yes,Black,0.415,No,0,0,0,0
Female,21.92,11.665,Married,Yes,Black,0.085,No,0,0,5,0
Male,21.08,4.125,Single,No,Black,0.04,No,0,0,100,0
Male,17.42,6.5,Married,Yes,White,0.125,No,0,0,100,0
Male,19.17,4,Single,No,White,1,No,0,0,1000,0
Male,20.67,0.415,Married,Yes,White,0.125,No,0,0,44,0
Male,26.75,2,Married,Yes,White,0.75,No,0,0,0,0
Male,23.58,0.835,Married,Yes,Black,0.085,No,0,0,5,0
Male,39.17,2.5,Single,No,Black,10,No,0,0,0,0
Male,22.75,11.5,Married,Yes,White,0.415,No,0,0,0,0
Male,26.5,2.71,Single,No,White,0.085,No,0,0,0,0
Female,16.92,0.5,Married,Yes,White,0.165,No,1,6,35,0
Male,23.5,3.165,Single,No,White,0.415,No,1,1,80,0
Female,17.33,9.5,Married,Yes,White,1.75,No,1,10,10,0
Male,23.75,0.415,Single,No,White,0.04,No,1,2,6,0
Male,34.67,1.08,Married,Yes,White,1.165,No,0,0,0,0
Male,74.83,19,Single,No,Latino,0.04,No,1,2,351,0
Male,28.17,0.125,Single,No,White,0.085,No,0,0,2100,0
Male,24.5,13.335,Single,No,White,0.04,No,0,0,475,0
Male,18.83,3.54,Single,No,Latino,0,No,0,0,1,0
Male,45.33,1,Married,Yes,White,0.125,No,0,0,0,0
Female,47.25,0.75,Married,Yes,Black,2.75,Yes,1,1,892,1
Male,24.17,0.875,Married,Yes,White,4.625,Yes,1,2,2000,1
Male,39.25,9.5,Married,Yes,White,6.5,Yes,1,14,4607,1
Female,20.5,11.835,Married,Yes,Black,6,Yes,0,0,0,1
Female,18.83,4.415,Single,No,Black,3,Yes,0,0,0,1
Male,19.17,9.5,Married,Yes,White,1.5,Yes,0,0,2206,1
Female,25,0.875,Married,Yes,Black,1.04,Yes,0,0,5860,1
Male,20.17,9.25,Married,Yes,White,1.665,Yes,1,3,28,1
Male,25.75,0.5,Married,Yes,White,1.46,Yes,1,5,0,1
Male,20.42,7,Married,Yes,White,1.625,Yes,1,3,1391,1
Male,28.46,4,Married,Yes,White,5,Yes,1,3,2279,1
Male,39,5,Married,Yes,White,3.5,Yes,1,10,0,1
Female,64.08,0.165,Married,Yes,Latino,0,Yes,1,1,100,1
Male,28.25,5.125,Married,Yes,White,4.75,Yes,1,2,7,1
Female,28.75,3.75,Married,Yes,White,1.085,Yes,1,1,0,1
Male,31.33,19.5,Married,Yes,White,7,Yes,1,16,5000,1
Female,18.92,9,Married,Yes,White,0.75,Yes,1,2,591,1
Female,24.75,3,Married,Yes,Black,1.835,Yes,1,19,500,1
Female,30.67,12,Married,Yes,White,2,Yes,1,1,19,1
Male,21,4.79,Single,No,White,2.25,Yes,1,1,300,1
Male,13.75,4,Single,No,White,1.75,Yes,1,2,1000,1
Female,46,4,Married,Yes,Other,0,Yes,0,0,960,1
Female,44.33,0,Married,Yes,White,2.5,Yes,0,0,0,1
Male,20.25,9.96,Married,Yes,Other,0,Yes,0,0,0,1
Male,22.67,2.54,Single,No,Black,2.585,Yes,0,0,0,1
Male,28.46,10.5,Married,Yes,White,6.5,Yes,0,0,0,1
Female,60.92,5,Married,Yes,White,4,Yes,1,4,99,1
Male,16.08,0.75,Married,Yes,White,1.75,Yes,1,5,690,1
Female,28.17,0.375,Married,Yes,White,0.585,Yes,1,4,0,1
Male,39.17,1.71,Married,Yes,White,0.125,Yes,1,5,0,1
Male,20.42,7.5,Married,Yes,White,1.5,Yes,1,1,234,1
Female,30,5.29,Married,Yes,Other,2.25,Yes,1,5,500,1
Male,22.83,3,Married,Yes,White,1.29,Yes,1,1,800,1
Female,22.5,8.5,Married,Yes,White,1.75,Yes,1,10,990,0
Female,28.58,1.665,Married,Yes,White,2.415,Yes,0,0,0,0
Male,45.17,1.5,Married,Yes,White,2.5,Yes,0,0,0,0
Male,41.58,1.75,Married,Yes,White,0.21,Yes,0,0,0,0
Female,57.08,0.335,Married,Yes,Asian,1,Yes,0,0,2197,0
Female,55.75,7.08,Married,Yes,Black,6.75,Yes,1,3,50,0
Male,43.25,25.21,Married,Yes,Black,0.21,Yes,1,1,90,0
Female,25.33,2.085,Married,Yes,Black,2.75,Yes,0,0,1,0
Female,24.58,0.67,Married,Yes,Black,1.75,Yes,0,0,0,0
Male,43.17,2.25,Married,Yes,Asian,0.75,Yes,0,0,0,0
Male,40.92,0.835,Married,Yes,Latino,0,Yes,0,0,1,0
Male,31.83,2.5,Married,Yes,White,7.5,Yes,0,0,0,0
Female,33.92,1.585,Single,No,Latino,0,Yes,0,0,0,0
Female,24.92,1.25,Married,Yes,Latino,0,Yes,0,0,0,0
Male,35.25,3.165,Married,Yes,Black,3.75,Yes,0,0,0,0
Male,34.25,1.75,Married,Yes,Asian,0.25,Yes,0,0,0,0
Male,80.25,5.5,Married,Yes,White,0.54,Yes,0,0,340,0
Male,19.42,1.5,Single,No,White,2,Yes,0,0,20,0
Male,42.75,3,Married,Yes,Asian,1,Yes,0,0,200,0
Male,19.67,10,Single,No,Black,0.835,Yes,0,0,0,0
Male,36.33,3.79,Married,Yes,White,1.165,Yes,0,0,0,0
Male,30.08,1.04,Single,No,Asian,0.5,Yes,1,10,28,0
Male,44.25,11,Single,No,White,1.5,Yes,0,0,0,0
Male,23.58,0.46,Single,No,White,2.625,Yes,1,6,347,0
Male,23.92,1.5,Married,Yes,Black,1.875,Yes,1,6,327,1
Male,33.17,1,Married,Yes,White,0.75,Yes,1,7,4071,1
Male,48.33,12,Married,Yes,White,16,Yes,0,0,0,1
Male,76.75,22.29,Married,Yes,Other,12.75,Yes,1,1,109,1
Male,51.33,10,Married,Yes,Asian,0,Yes,1,11,1249,1
Male,34.75,15,Married,Yes,Other,5.375,Yes,1,9,134,1
Male,38.58,3.335,Married,Yes,White,4,Yes,1,14,1344,1
Female,22.42,11.25,Single,No,Black,0.75,Yes,1,4,321,1
Male,41.92,0.42,Married,Yes,Black,0.21,Yes,1,6,948,1
Male,29.58,4.5,Married,Yes,White,7.5,Yes,1,2,0,1
Female,32.17,1.46,Married,Yes,White,1.085,Yes,1,16,2079,1
Male,51.42,0.04,Married,Yes,Black,0.04,Yes,0,0,3000,1
Female,22.83,2.29,Married,Yes,Black,2.29,Yes,1,7,2384,1
Female,25,12.33,Married,Yes,Black,3.5,Yes,1,6,458,1
Male,26.75,1.125,Married,Yes,Black,1.25,Yes,0,0,5298,1
Male,23.33,1.5,Married,Yes,Black,1.415,Yes,0,0,200,1
Male,24.42,12.335,Married,Yes,Black,1.585,Yes,0,0,0,1
Male,42.17,5.04,Married,Yes,Black,12.75,Yes,0,0,0,1
Female,20.83,3,Married,Yes,White,0.04,Yes,0,0,0,1
Male,23.08,11.5,Married,Yes,Black,2.125,Yes,1,11,284,1
Female,25.17,2.875,Married,Yes,Black,0.875,Yes,0,0,0,1
Male,43.08,0.375,Single,No,White,0.375,Yes,1,8,162,1
Female,35.75,0.915,Married,Yes,White,0.75,Yes,1,4,1583,1
Male,59.5,2.75,Married,Yes,White,1.75,Yes,1,5,58,1
Male,21,3,Single,No,White,1.085,Yes,1,8,1,1
Male,21.92,0.54,Single,No,White,0.04,Yes,1,1,59,1
Female,65.17,14,Married,Yes,Latino,0,Yes,1,11,1400,1
Female,20.33,10,Married,Yes,Black,1,Yes,1,4,1465,1
Male,32.25,0.165,Single,No,Black,3.25,Yes,1,1,8000,1
Male,30.17,0.5,Married,Yes,White,1.75,Yes,1,11,540,1
Male,25.17,6,Married,Yes,White,1,Yes,1,3,0,1
Male,39.17,1.625,Married,Yes,White,1.5,Yes,1,10,4700,1
Male,39.08,6,Married,Yes,White,1.29,Yes,1,5,1097,1
Male,31.67,0.83,Married,Yes,White,1.335,Yes,1,8,3290,1
Male,41,0.04,Married,Yes,White,0.04,No,1,1,0,1
Male,48.5,4.25,Married,Yes,White,0.125,Yes,0,0,0,1
Male,32.67,9,Single,No,Black,5.25,Yes,0,0,0,1
Female,28.08,15,Single,No,Other,0,Yes,0,0,13212,1
Male,73.42,17.75,Married,Yes,Latino,0,Yes,0,0,0,1
Male,64.08,20,Married,Yes,Black,17.5,Yes,1,9,1000,1
Male,51.58,15,Married,Yes,White,8.5,Yes,1,9,0,1
Male,26.67,1.75,Single,No,White,1,Yes,1,5,5777,1
Male,25.33,0.58,Married,Yes,White,0.29,Yes,1,7,5124,1
Male,30.17,6.5,Married,Yes,White,3.125,Yes,1,8,1200,1
Male,27,0.75,Married,Yes,Black,4.25,Yes,1,3,150,1
Male,23.17,0,Married,Yes,White,0,No,0,0,0,1
Male,34.17,5.25,Married,Yes,White,0.085,No,0,0,6,1
Male,38.67,0.21,Married,Yes,White,0.085,Yes,0,0,0,1
Male,25.75,0.75,Married,Yes,Asian,0.25,Yes,0,0,23,1
Female,46.08,3,Married,Yes,White,2.375,Yes,1,8,4159,1
Female,21.5,6,Married,Yes,White,2.5,Yes,1,3,918,1
Male,20.08,0.125,Married,Yes,White,1,No,1,1,768,1
Male,20.5,2.415,Married,Yes,White,2,Yes,1,11,3000,1
Female,29.5,0.46,Married,Yes,White,0.54,Yes,1,4,500,1
Male,42.25,1.75,Single,No,White,0,No,0,0,1,0
Male,29.83,1.25,Single,No,White,0.25,No,0,0,0,0
Male,20.08,0.25,Married,Yes,White,0.125,No,0,0,0,0
Male,23.42,0.585,Married,Yes,Black,0.085,Yes,0,0,0,0
Female,29.58,1.75,Single,No,White,1.25,No,0,0,0,0
Male,16.17,0.04,Married,Yes,White,0.04,No,0,0,0,1
Male,32.33,3.5,Married,Yes,White,0.5,No,0,0,0,0
Male,28.46,0.04,Single,No,White,4.25,No,0,0,0,0
Male,47.83,4.165,Married,Yes,Asian,0.085,No,0,0,0,0
Male,20,1.25,Single,No,White,0.125,No,0,0,4,0
Male,27.58,3.25,Single,No,Black,5.085,No,1,2,1,0
Male,22,0.79,Married,Yes,White,0.29,No,1,1,283,0
Male,19.33,10.915,Married,Yes,Asian,0.585,No,1,2,7,0
Female,38.33,4.415,Married,Yes,White,0.125,No,0,0,0,0
Male,29.42,1.25,Married,Yes,Black,0.25,No,1,2,108,0
Male,22.67,0.75,Married,Yes,White,1.585,No,1,1,9,0
Male,32.25,14,Single,No,Latino,0,No,1,2,1,0
Male,29.58,4.75,Married,Yes,White,2,No,1,1,68,0
Male,18.42,10.415,Single,No,White,0.125,Yes,0,0,375,0
Male,22.17,2.25,Married,Yes,White,0.125,No,0,0,10,0
Male,22.67,0.165,Married,Yes,Other,2.25,No,0,0,0,1
Female,25.58,0,Married,Yes,White,0,No,0,0,0,1
Male,18.83,0,Married,Yes,White,0.665,No,0,0,1,0
Male,21.58,0.79,Single,No,White,0.665,No,0,0,0,0
Male,23.75,12,Married,Yes,White,2.085,No,0,0,0,0
Male,22,7.835,Single,No,Asian,0.165,No,0,0,0,0
Male,36.08,2.54,Married,Yes,Latino,0,No,0,0,1000,0
Male,29.25,13,Married,Yes,Black,0.5,No,0,0,0,0
Female,19.58,0.665,Married,Yes,White,1.665,No,0,0,5,0
Female,22.92,1.25,Married,Yes,White,0.25,No,0,0,809,0
Female,27.25,0.29,Married,Yes,Black,0.125,No,1,1,108,0
Female,38.75,1.5,Married,Yes,Latino,0,No,0,0,0,0
Male,32.42,2.165,Single,No,Latino,0,No,0,0,0,0
Female,23.75,0.71,Married,Yes,White,0.25,No,1,1,4,0
Male,18.17,2.46,Married,Yes,Other,0.96,No,1,2,587,0
Male,40.92,0.5,Single,No,White,0.5,No,0,0,0,0
Male,19.5,9.585,Married,Yes,White,0.79,No,0,0,350,0
Male,28.58,3.625,Married,Yes,White,0.25,No,0,0,0,0
Male,35.58,0.75,Married,Yes,White,1.5,No,0,0,0,0
Male,34.17,2.75,Married,Yes,Asian,2.5,No,0,0,200,0
Male,33.17,2.25,Single,No,White,3.5,No,0,0,141,0
Male,31.58,0.75,Single,No,White,3.5,No,0,0,0,0
Female,52.5,7,Married,Yes,Black,3,No,0,0,0,0
Male,36.17,0.42,Single,No,White,0.29,No,0,0,2,0
Male,37.33,2.665,Married,Yes,White,0.165,No,0,0,501,0
Female,20.83,8.5,Married,Yes,White,0.165,No,0,0,351,0
Male,24.08,9,Married,Yes,White,0.25,No,0,0,0,0
Male,25.58,0.335,Married,Yes,Black,3.5,No,0,0,0,0
Female,35.17,3.75,Married,Yes,Latino,0,No,1,6,200,0
Male,48.08,3.75,Married,Yes,Asian,1,No,0,0,2,0
Female,15.83,7.625,Married,Yes,White,0.125,No,1,1,160,0
Female,22.5,0.415,Married,Yes,White,0.335,No,0,0,0,0
Male,21.5,11.5,Married,Yes,White,0.5,Yes,0,0,68,0
Female,23.58,0.83,Married,Yes,White,0.415,No,1,1,11,0
Female,21.08,5,Single,No,Latino,0,No,0,0,0,0
Male,25.67,3.25,Married,Yes,Black,2.29,No,1,1,21,0
Female,38.92,1.665,Married,Yes,White,0.25,No,0,0,390,0
Female,15.75,0.375,Married,Yes,White,1,No,0,0,18,0
Female,28.58,3.75,Married,Yes,White,0.25,No,1,1,154,0
Male,22.25,9,Married,Yes,White,0.085,No,0,0,0,0
Male,29.83,3.5,Married,Yes,White,0.165,No,0,0,0,0
Female,23.5,1.5,Married,Yes,White,0.875,No,0,0,0,0
Male,32.08,4,Single,No,White,1.5,No,0,0,0,0
Male,31.08,1.5,Single,No,White,0.04,No,0,0,0,0
Male,31.83,0.04,Single,No,White,0.04,No,0,0,0,0
Female,21.75,11.75,Married,Yes,White,0.25,No,0,0,0,0
Female,17.92,0.54,Married,Yes,White,1.75,No,1,1,5,0
Male,30.33,0.5,Married,Yes,Black,0.085,No,0,0,0,0
Male,51.83,2.04,Single,No,Latino,1.5,No,0,0,1,0
Male,47.17,5.835,Married,Yes,White,5.5,No,0,0,150,0
Male,25.83,12.835,Married,Yes,White,0.5,No,0,0,2,0
Female,50.25,0.835,Married,Yes,White,0.5,No,0,0,117,0
Male,29.5,2,Single,No,Black,2,No,0,0,17,0
Female,37.33,2.5,Married,Yes,Black,0.21,No,0,0,246,0
Female,41.58,1.04,Married,Yes,White,0.665,No,0,0,237,0
Female,30.58,10.665,Married,Yes,Black,0.085,No,1,12,3,0
Male,19.42,7.25,Married,Yes,White,0.04,No,1,1,1,0
Female,17.92,10.21,Married,Yes,Latino,0,No,0,0,50,0
Female,20.08,1.25,Married,Yes,White,0,No,0,0,0,0
Male,19.5,0.29,Married,Yes,White,0.29,No,0,0,364,0
Male,27.83,1,Single,No,Black,3,No,0,0,537,0
Male,17.08,3.29,Married,Yes,White,0.335,No,0,0,2,0
Male,36.42,0.75,Single,No,White,0.585,No,0,0,3,0
Male,40.58,3.29,Married,Yes,White,3.5,No,0,0,0,0
Male,21.08,10.085,Single,No,Black,1.25,No,0,0,0,0
Female,22.67,0.75,Married,Yes,White,2,No,1,2,394,0
Female,25.25,13.5,Single,No,Latino,2,No,1,1,1,0
Male,17.92,0.205,Married,Yes,White,0.04,No,0,0,750,0
Male,35,3.375,Married,Yes,Black,8.29,No,0,0,0,0
